ZATTITUDEW,ZATTITUDEX,ZATTITUDEY,ZATTITUDEZ,ZGRAVITYX,ZGRAVITYY,ZGRAVITYZ,ZROTATIONRATEX,ZROTATIONRATEY,ZROTATIONRATEZ,ZTIMESTAMP,ZUSERACCELERATIONX,ZUSERACCELERATIONY,ZUSERACCELERATIONZ,ZLABEL
-0.355034589767456,0.004874911624938,-0.930400192737579,-0.090998791158199,0.661535739898682,-0.165869057178497,0.731336593627930,0.111603975296020,0.160578176379204,-0.285258710384369,1490025068.450638055801392,0.291722774505615,0.443855911493301,-0.882390260696411,balanced
-0.354438155889511,0.006000378634781,-0.930722773075104,-0.089951232075691,0.660846829414368,-0.163185790181160,0.732561767101288,0.124851197004318,0.159480690956116,-0.270836085081101,1490025068.460464954376221,0.292411684989929,0.441172659397125,-0.883615374565125,balanced
-0.353809416294098,0.006976743228734,-0.931055665016174,-0.088904432952404,0.660073041915894,-0.160613074898720,0.733826637268066,0.134320601820946,0.162468761205673,-0.238348990678787,1490025068.470290899276733,0.280891835689545,0.413365721702576,-0.896932899951935,balanced
-0.353196829557419,0.007780234795064,-0.931379675865173,-0.087874114513397,0.659288048744202,-0.158192425966263,0.735057294368744,0.142122089862823,0.150606513023376,-0.207081615924835,1490025068.480118036270142,0.281676828861237,0.410945057868958,-0.898163616657257,balanced
-0.352684617042542,0.008421758189797,-0.931653201580048,-0.086966991424561,0.658624351024628,-0.156105697154999,0.736097216606140,0.126629412174225,0.120593480765819,-0.168872445821762,1490025068.489944934844971,0.295092344284058,0.388445019721985,-0.883064568042755,balanced
-0.352365672588348,0.008874177932739,-0.931848704814911,-0.086116373538971,0.658231437206268,-0.154240950942039,0.736841499805450,0.135107561945915,0.071793712675571,-0.130753025412560,1490025068.499771118164062,0.295485258102417,0.386580258607864,-0.883808791637421,balanced
-0.352247297763825,0.009134882129729,-0.931966841220856,-0.085291445255280,0.658123850822449,-0.152542129158974,0.737291276454926,0.138769671320915,0.029101910069585,-0.098550081253052,1490025068.509598016738892,0.304024159908295,0.371040523052216,-0.859577596187592,balanced
-0.352207481861115,0.009299237281084,-0.932044208049774,-0.084589511156082,0.658119142055511,-0.151131808757782,0.737585783004761,0.115235581994057,0.013735204935074,-0.074702538549900,1490025068.519424915313721,0.304028868675232,0.369630217552185,-0.859872043132782,balanced
-0.352161169052124,0.009410970844328,-0.932111859321594,-0.084022410213947,0.658088684082031,-0.150008216500282,0.737842142581940,0.096954315900803,0.016811154782772,-0.053131736814976,1490025068.529251098632812,0.301211237907410,0.353620529174805,-0.857316255569458,balanced
-0.352125287055969,0.009495771490037,-0.932163774967194,-0.083586670458317,0.658064305782318,-0.149145528674126,0.738038957118988,0.074838235974312,0.008545503020287,-0.044817879796028,1490025068.539077997207642,0.301235616207123,0.352757841348648,-0.857513070106506,balanced
-0.352210462093353,0.009591020643711,-0.932165384292603,-0.083197884261608,0.658232688903809,-0.148352265357971,0.738048553466797,0.065784826874733,-0.019838202744722,-0.047417659312487,1490025068.548904895782471,0.306261718273163,0.353104054927826,-0.857021689414978,balanced
-0.352362662553787,0.009744117967784,-0.932135462760925,-0.082870237529278,0.658514440059662,-0.147625654935837,0.737942934036255,0.046308062970638,-0.029750488698483,-0.059561140835285,1490025068.558701038360596,0.305979967117310,0.352377414703369,-0.856916069984436,balanced
-0.352520257234573,0.009947645477951,-0.932099282741547,-0.082582511007786,0.658810734748840,-0.146936699748039,0.737816035747528,0.036748908460140,-0.024750135838985,-0.061971299350262,1490025068.568526983261108,0.286563396453857,0.347472459077835,-0.858406722545624,balanced
-0.352583974599838,0.010222972370684,-0.932088136672974,-0.082403533160686,0.658963501453400,-0.146405801177025,0.737785577774048,0.005823485553265,-0.001048801466823,-0.067959152162075,1490025068.578353881835938,0.286410629749298,0.346941560506821,-0.858376324176788,balanced
-0.352516323328018,0.010562829673290,-0.932111978530884,-0.082380622625351,0.658909738063812,-0.146128788590431,0.737888634204865,-0.027471087872982,0.029041189700365,-0.064309291541576,1490025068.588181018829346,0.264156460762024,0.347395420074463,-0.861289978027344,balanced
-0.352337121963501,0.010926865972579,-0.932164728641510,-0.082503929734230,0.658675491809845,-0.146114632487297,0.738100945949554,-0.053787380456924,0.048045240342617,-0.054690219461918,1490025068.598006963729858,0.264390707015991,0.347381263971329,-0.861502170562744,balanced
-0.352100670337677,0.011252272874117,-0.932235479354858,-0.082670755684376,0.658341944217682,-0.146213352680206,0.738379180431366,-0.047651194036007,0.056862168014050,-0.042603727430105,1490025068.607834100723267,0.265019357204437,0.365656733512878,-0.868018805980682,balanced
-0.351860105991364,0.011422262527049,-0.932319939136505,-0.082719795405865,0.657982051372528,-0.146204546093941,0.738701879978180,-0.014005612581968,0.053185675293207,-0.022075548768044,1490025068.617660999298096,0.265379130840302,0.365647941827774,-0.868341624736786,balanced
-0.351612299680710,0.011473456397653,-0.932413399219513,-0.082713127136230,0.657594025135040,-0.146177232265472,0.739052772521973,0.002762714400887,0.053418967872858,-0.000387830659747,1490025068.627486944198608,0.279289484024048,0.372378826141357,-0.870143771171570,balanced
